"bin"	"marker"	"contigName"
"14503"	"bin_4"	"PF00707.17"	"k101_2015887"
"14504"	"bin_4"	"PF00707.17"	"k101_5873511"
"14505"	"bin_4"	"PF00189.15"	"k101_3166582"
"14506"	"bin_4"	"PF00189.15"	"k101_479368"
"14507"	"bin_4"	"PF00118.19"	"k101_2566400"
"14508"	"bin_4"	"PF00118.19"	"k101_5657775"
"14509"	"bin_4"	"PF02224.13"	"k101_4788461"
"14510"	"bin_4"	"PF02224.13"	"k101_7697032"
"14511"	"bin_4"	"PF05198.11"	"k101_2015887"
"14512"	"bin_4"	"PF05198.11"	"k101_5873511"
"14513"	"bin_4"	"PF00252.13"	"k101_3166582"
"14514"	"bin_4"	"PF00252.13"	"k101_479368"
"14515"	"bin_4"	"TIGR00928"	"k101_2646311"
"14516"	"bin_4"	"TIGR00928"	"k101_4449974"
"14517"	"bin_4"	"TIGR00922"	"k101_10977307"
"14518"	"bin_4"	"TIGR00922"	"k101_2932726"
"14519"	"bin_4"	"TIGR01510"	"k101_2606644"
"14520"	"bin_4"	"TIGR01510"	"k101_8977374"
"14521"	"bin_4"	"PF11967.3"	"k101_7350431"
"14522"	"bin_4"	"PF11967.3"	"k101_981597"
"14523"	"bin_4"	"PF08459.6"	"k101_34376"
"14524"	"bin_4"	"PF08459.6"	"k101_8801058"
"14525"	"bin_4"	"PF00154.16"	"k101_1132536"
"14526"	"bin_4"	"PF00154.16"	"k101_6240022"
"14527"	"bin_4"	"PF01245.15"	"k101_1719954"
"14528"	"bin_4"	"PF01245.15"	"k101_2562889"
"14529"	"bin_4"	"PF00831.18"	"k101_3166582"
"14530"	"bin_4"	"PF00831.18"	"k101_479368"
"14531"	"bin_4"	"TIGR00121"	"k101_11314760"
"14532"	"bin_4"	"TIGR00121"	"k101_481836"
"14533"	"bin_4"	"PF03946.9"	"k101_10977307"
"14534"	"bin_4"	"PF03946.9"	"k101_2932726"
"14535"	"bin_4"	"PF01513.16"	"k101_251287"
"14536"	"bin_4"	"PF01513.16"	"k101_4964378"
"14537"	"bin_4"	"TIGR01499"	"k101_242654"
"14538"	"bin_4"	"TIGR01499"	"k101_7988775"
"14539"	"bin_4"	"TIGR01072"	"k101_2522355"
"14540"	"bin_4"	"TIGR01072"	"k101_6033850"
"14541"	"bin_4"	"PF00886.14"	"k101_1258531"
"14542"	"bin_4"	"PF00886.14"	"k101_2562889"
"14543"	"bin_4"	"PF10385.4"	"k101_10039717"
"14544"	"bin_4"	"PF10385.4"	"k101_2915534"
"14545"	"bin_4"	"PF00344.15"	"k101_3942619"
"14546"	"bin_4"	"PF00344.15"	"k101_6350722"
"14547"	"bin_4"	"PF14450.1"	"k101_2525471"
"14548"	"bin_4"	"PF14450.1"	"k101_6311234"
"14549"	"bin_4"	"PF02403.17"	"k101_11027553"
"14550"	"bin_4"	"PF02403.17"	"k101_594906"
